INAME	GENE	CHROMO	UP6_214	UP6_218FR	UP6_221FR	UP6_225
		Q	0.25	5.72	6.25	0.18
YEL054C	RPL12A	5	0.5	1.75	1.9	0.53
iDx545I		4	0.63	1	0.85	0.8
iBx028I		2	2.23	0.36	0.43	2.41
iLx057I		12	0.5	1.45	1.45	0.53
iHx134I		8	1.36	0.52	0.45	2.16
iDx211I		4	0.52	1	0.92	0.76
YOR166C		15	1.34	0.88	1.03	1.21
iNx240I		14	0.72	1.05	0.91	0.87
YFL011W	HXT10	6	1.4	1.01	0.97	1.33
iNx306I		14	1.36	0.51	0.55	1.67
YDL097C	RPN6	4	0.57	1.76	1.63	0.55
YLR200W	YKE2	12	1.92	0.49	0.56	1.57
iGx177I		7	1.3	0.83	0.62	1.35
iMx283I		13	0.66	1.2	1.11	0.73
iMx349I		13	0.91	0.76	0.62	1.47
YKL160W		11	0.51	2.38	2.13	0.52
YOL083W		15	0.69	1.05	2.2	0.52
YPL041C		16	1.38	1.09	1.06	1.23
iOx532I		15	0.72	1.38	1.13	0.74
iMx015I		13	0.78	1.24	1.26	0.9
YLR201C		12	0.89	1.36	1.59	0.8
iBx297I		2	0.68	1.52	1.74	0.61
YOL149W	DCP1	15	3.51	0.37	0.42	2.68
iDx480I					1.05	0.78
YEL055C	POL5	5	1.37	0.87	0.63	1.57
iDx546I		4	0.97	0.8	0.73	1.37
iBx029I		2	2.24	0.44	0.39	2.48
YER138C		5	0.92	1.73	1.63	0.87
YKL161C		11	0.94	2.18	1.94	0.69
iLx058I		12	1.52	0.68	0.55	1.61
iHx135I		8	0.98	0.91	1.15	0.84
iDx212I		4	0.85	1.41	1.19	1.15
YOR167C	RPS28A	15	1.02	1.3	1.51	0.84
iNx241I		14	2.57	0.32	0.36	2.65
YFL012W		6	0.99	1.2	1.19	0.9
iNx307I		14	2.12	0.38	0.46	2.01
YJR018W		10	0.62	1.38	1.59	0.71
YDL098C	SNU23	4	0.88	1.39	0.99	0.86
YPR124W	CTR1	16	0.71	1.61	1.67	0.8
iGx178I		7	0.53	1.6	1.27	0.71
YPL107W		16	1.92	0.76	0.79	1.31
iMx284I		13	0.93	1.54	1.58	0.86
YER072W	NRF1	5	0.89	1.61	1.28	0.81
YFL013C		6	1.06	1.12	1.32	1.08
YOL084W		15	0.62	1.77	2.05	0.45
YJR019C	TES1	10	0.67	1.61	1.11	0.65
YAL058C-A		1	0.89	1.28	1.21	0.64
YPL042C	SSN3	16	2.68	0.57	0.46	2.31
iOx533I		15	0.63	1.41	1.53	0.59
iMx016I		13	0.42	3.24	3.04	0.31
YLR202C		12	0.55	1.61	1.88	0.52
iBx298I		2	0.65	1.35	1.02	0.8
iDx481I		4	0.75	1.1	1.36	0.72
iHx070I		8	1.48	0.69	0.93	1.69
iDx547I		4	1.6	0.61	0.61	1.64
YER139C		5	0.52	2.43	2.8	0.49
YOL085C		15	0.34	0.8	3.13	
YKL162C		11	1.28	0.81	1.19	1.18
iLx059I		12	2.45	0.33	0.29	3.15
iHx136I		8	0.69	1.04	1.19	0.71
iDx213I		4	1.43	0.54	0.63	1.17
YFR030W	MET10	6	1.7	0.6	0.68	1.72
iNx242I		14	1.39	0.76	0.74	1.67
iNx308I		14	2.66	0.21	0.19	3.81
iCx190I		3	1.65	0.66	0.52	1.55
YPR125W				1.23	1.14	0.85
iGx179I		7	0.68	1.67	1.68	0.45
YPL108W		16	1.24	1.04	1.02	0.98
iMx285I		13	1.47	0.53	0.46	1.86
YER073W	ALD5	5	0.5	1.22	1.42	0.6
YFR031C				0.97	0.74	0.95
YEL056W	HAT2	5	1.51	0.6	0.87	1.67
YPR060C	ARO7	16	2.26	0.41	0.45	2.39
iOx534I		15	0.59	1.71	1.8	0.78
iMx017I		13	0.51	2.31	2.34	0.48
YOR168W	GLN4	15	1.32	0.91	0.95	1.24
YPR126C		16	1.12	0.99	0.91	1.06
YLR203C	MSS51	12	0.59	2.14	2.47	0.46
iBx299I		2	1.1	0.87	0.78	1.24
iOx200I		15	1.3	0.39	0.36	1.88
YPL109C		16	0.77	1.64	1.76	0.63
iDx482I				1.38	1.07	
YDL099W		4	0.89	1.25	1.42	0.98
iHx071I		8	5.49	0.17	0.16	6.13
YEL057C		5	1.04	0.9	1.15	0.93
iDx548I		4	0.61	1.45	1.24	0.92
YOL086C	ADH1	15	0.44	2.63	3.27	0.33
iHx137I		8	0.67	0.72	0.81	0.95
iDx214I		4	1.44	0.52	0.46	1.95
YOR169C		15	2.5	0.51	0.44	1.62
iNx243I		14	1.22	0.76	0.88	1.45
iJx320I		10	0.42	2.35	2.64	0.34
YFL014W	HSP12	6	1.23	0.97	1.05	0.85
iNx309I		14	2.51	0.26	0.26	4.06
iCx191I		3	1.67	0.76	0.77	1.82
YPL043W	NOP4	16	2.73	0.49	0.49	3.05
YER074W					0.61	
iMx286I		13	0.92	1.03	0.77	0.87
YFR032C		6	0.78	1.28	0.88	0.89
YFL015C		6	0.63	1.62	1.34	0.52
YPR061C		16	1.21	1.07	1.01	1.19
YGL240W	DOC1	7	0.78	1.24	1.34	1.01
YKL163W	PIR3	11	0.88	1.7	1.28	0.6
YPL044C		16	1.68	0.8	0.88	1.74
iOx535I		15	1.56	0.58	0.5	1.58
iMx018I		13	0.48	2.07	2.17	0.49
iOx201I		15	0.85	0.9	0.87	1.39
iDx483I		4	0.56	1.59	1.75	0.56
YER075C	PTP3	5	1.89	0.55	0.42	2.51
iHx072I		8	0.79	1.28	1.2	0.81
iDx549I		4	0.51	1.57	1.33	0.71
YKL164C				0.63		
YOL087C		15	0.61	1.92	1.61	0.71
iHx138I		8	0.85	0.67	0.59	1.54
iDx215I		4	0.91	0.8	0.63	1.25
iNx244I		14	2.56	0.39	0.45	3.3
iJx321I		10	0.72	1.44		0.85
iCx192I		3	1.63	0.55	0.59	1.74
YPR127W		16	2.26	0.53	0.54	2.2
YLR204W	QRI5	12	0.56	2.13	2.21	0.62
YMR153C-A		13	1.28	0.47	0.54	1.97
iMx287I		13	0.36	2.42	2.06	0.53
YFR033C	QCR6	6	0.43	2.49	2.33	0.36
YEL058W	PCM1	5	0.92	1.12	1.1	0.89
iOx470I		15	0.66	1.03	0.91	0.61
iIx030I		9	0.84	0.61	0.56	1.46
YFL016C	MDJ1	6	0.64	1.28	1.21	0.5
iOx536I		15	0.29	2.8	1.89	0.48
iMx019I		13	0.81	0.9	1.06	0.81
YPR128C		16	2.04	0.54	0.52	1.89
YLR205C		12	1.47	0.78	0.85	1.48
iOx202I		15	1.12	0.71	1.01	1.19
iDx484I		4	0.47	1.62	1.51	0.44
YER076C		5	1.11	1.1	0.71	1.15
iHx073I		8	0.45	2.2	1.99	0.45
iDx150I		4	1.23	0.62	0.55	1.5
YOL088C	MPD2	15	0.94	1.15	1.06	0.75
YGL242C		7	1.34	0.73	0.84	1.15
iHx139I		8	0.97	0.73	0.77	1.07
iDx216I		4	0.45	2.02	1.79	0.61
YBR110W	ALG1	2	1.65	0.71	0.62	2.17
iNx245I		14	1.79	0.42	0.55	2.17
iJx322I		10	0.46	2.04		0.54
YPR062W	FCY1	16	0.8	1.2	1.2	0.73
iCx193I		3	1.4	0.73	0.81	1.64
YPL045W	VPS16	16	0.86	1.48	1.6	0.89
iMx288I		13	0.47	2.04	2.14	0.57
YFR034C	PHO4	6	0.33	3.76	4.63	0.44
YEL059W		5	0.5	2.07	2	0.28
YBR111C	YSA1	2	1.92	0.46	0.38	2.16
iOx471I		15	1.99	0.47	0.43	1.52
iIx031I		9	0.4	1.79	1.89	0.55
YFL017C	GNA1	6	0.84	0.95	1.04	0.86
YPR063C		16	0.91	1.67	1.88	0.63
YPL046C	ELC1	16	0.58	2.34	1.54	0.56
iOx537I		15	0.43	1.74	1.28	0.63
iOx203I		15	2.4	0.36	0.4	2.24
iDx485I				0.75	0.94	0.75
YER077C		5	0.61	1.6	1.37	0.69
iHx074I		8	0.42	1.98	1.98	0.39
iDx151I		4	0.67	1.35	1.29	0.99
iNx180I		14	0.68	1.14	1.11	0.62
YOL089C	HAL9	15	2.09	0.58	0.54	2.18
YKL166C	TPK3	11	0.8	1.07	0.93	0.85
iDx217I		4	0.42		1.56	0.49
iNx246I		14	0.68	1.2	1.32	0.89
iJx323I		10	0.47	2.07		0.55
YLR140W		12	1.84	0.81	0.82	1.56
iCx194I		3	1.04	1.04	0.95	1.16
YPR129W	SCD6	16	1.57	0.81	0.9	1.47
YLR206W	ENT2	12	0.48	1.84	2.01	0.6
iMx289I		13	0.47	1.99	2.27	0.5
YFR035C		6	0.6	1.73	1.63	0.39
YBR112C	CYC8	2	0.64	1.6	1.32	0.79
iOx472I		15	0.6	1.3	1.17	0.63
iIx032I		9	0.53	1.4	1.6	0.71
YGR260W		7	1.36	0.58	0.36	1.77
YFL018C	LPD1	6	1	1.11	0.99	1.08
YGL243W	TAD1	7	1.71	0.78	0.68	1.62
iOx538I		15	0.69	0.91		0.83
iOx204I		15	1.58	0.49	0.58	2.32
iDx486I		4	1.16	1.38	1.27	0.56
YER078C		5	0.55	2.47	1.63	0.58
iDx152I		4	0.57	1.26		0.74
iHx075I		8	0.49	1.69	1.8	0.68
YGR261C	APL6	7	1.62	0.57	0.56	1.97
iNx181I		14	0.77	0.76	0.66	0.94
YKL167C	MRP49	11	1.05	1.02	0.82	1.12
iDx218I		4	0.7	1.34	1.09	0.88
iNx247I		14	0.47	1.78	1.81	0.77
iJx324I		10	0.53	1.12	1.51	0.55
iPx430I		16	0.75	1.14	1.05	0.73
YPR064W		16	0.31	3.53	3.28	0.42
YLR141W	RRN5	12	1.06	1.13	1.09	0.96
iCx195I		3	0.95	1.12	0.89	1.11
YPL047W		16	0.46	1.86	1.92	0.52
YLR207W	HRD3	12	0.77	1.89	1.56	0.71
YBL030C	PET9	2	0.73	1.59	1.7	0.8
iOx473I		15	0.37	1.47	1.18	0.5
iIx033I		9	0.63	1.66	1.88	0.56
iEx110I		5	2.97	0.37	0.32	3.64
YFL019C		6	1.49	0.46	0.45	1.98
YGL244W	RTF1	7	0.87	1.26		0.95
iOx539I		15	1.02	0.6	0.47	1.61
iOx205I		15	1.67	0.54	0.65	2.2
iDx487I		4	3.01	0.23	0.23	3.71
iHx076I		8	0.78	1.11	0.86	1.01
iDx153I		4	0.65	1.15	0.94	0.9
YGR262C		7	0.76	1.28	0.95	0.88
iNx182I		14	0.86	0.72	0.82	1.1
YKL168C	KKQ8	11	1.86	0.47	0.51	2.27
iDx219I		4	0.95	0.77	0.65	1.67
YBR113W		2	0.46	2.11	2.04	0.43
iJx325I				1.19	0.98	0.67
iNx248I		14	0.58	2.19	2.5	0.55
YFR036W	CDC26	6	0.68	1.24	0.82	0.89
iPx431I				1.33	1.12	0.65
YPR065W				0.51		
YLR142W	PUT1	12	0.83	1.11	1.27	0.87
iCx196I		3	0.88	1.18	0.84	1.11
YPL048W	CAM1	16	0.43	2.46	2.91	0.42
YLR208W	SEC13	12	0.93	1.01	0.82	1.29
YER079W		5	0.45	2.1	1.81	0.45
YFR037C	RSC8	6	0.58	1.69	1.67	0.67
YLL060C	GTT2	12	0.69	1.76	1.97	0.59
iIx034I		9	1.13	0.79	0.67	1.63
iEx111I		5	1.84	0.45	0.35	2.69
iOx474I		15	0.48	1.28	1.19	0.59
YGL245W		7	0.56	1.86	2.01	0.7
iOx140I		15	0.74	1.14	1.16	0.65
YPL049C	DIG1	16	0.41	2.88	2.84	0.31
YLR209C		12	1.94	0.79	0.78	1.42
iOx206I		15	1.26	0.55	0.69	1.53
iDx488I		4	0.67	1.12	0.95	1
YMR100W	MUB1	13	1.37	0.69	0.69	1.99
iDx154I				0.78	0.8	0.74
iHx077I		8	1.06	0.59	0.58	1.27
YGR263C		7	0.7	1.39	1.32	0.87
iNx183I		14	0.45	1.71	1.75	0.54
iJx260I		10	0.41	1.68	1.29	0.41
YKL169C		11	2.92	0.38	0.33	3.52
YGL246C	RAI1	7	0.95	0.88	0.77	0.97
YBL031W	SHE1	2	1.62	0.78	0.73	1.98
YBR114W	RAD16	2	1.13	1.07	0.92	1.39
iNx249I		14	0.6	1.27	1.45	0.65
iJx326I		10	0.59	1.86	1.56	0.68
iPx432I				0.79		
YPR066W	UBA3	16	1.1	1.14	0.99	1.05
YLR143W		12	2.33	0.61	0.51	2.29
YMR101C	SRT1	13	3.79	0.25	0.26	3.79
iCx197I				0.86	0.8	1.07
YGL180W	APG1	7	1.16	0.86	0.77	1.33
YBR115C	LYS2	2	0.84	0.81	0.72	0.9
iOx475I		15	0.73	0.89	0.84	0.8
iIx035I		9	0.54	1.23	1.23	0.66
YLR144C	ACF2	12	1.98	0.59	0.58	1.89
iOx141I		15	0.29	2.75	2.62	0.45
YNL310C		14	0.82		1.43	0.63
iOx207I		15	1.14	0.93	0.63	1.61
iDx489I		4	0.96	1.23	1.18	0.85
iHx078I		8	1.76	0.36	0.31	2.42
iDx155I		4	0.44	1.97	1.9	0.56
YGR264C	MES1	7	0.54	1.61	1.08	0.74
iNx184I		14	0.47	2.03	2.42	0.51
iJx261I		10	0.48	1.56	1.51	0.59
YBL032W		2	0.93	1.12	1.26	0.97
iJx327I		10	0.84	1.25	1.19	0.97
YLL061W	MMP1	12	0.82	1.21	1.02	0.78
YFR038W		6	1.01	0.91	0.89	1.09
iLx510I		12	0.48	1.83	1.75	0.39
iPx433I		16	0.52	2.07	1.63	0.71
YPR067W	ISA2	16	2.28	0.67	0.72	1.88
YMR102C		13	1.86	0.64	0.71	1.62
iCx198I				0.78	0.9	0.64
YBR050C	REG2	2	0.55	1.68	1.44	0.83
YBL033C	RIB1	2	0.4	1.6	1.39	0.49
YGL181W	GTS1	7	0.41	2.7	2.59	0.43
YFR039C		6	1.12	0.74	0.64	1.25
YBR116C		2	0.44	2.24	2.34	0.4
YLL062C		12	0.87	1.32	1.12	0.81
