NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
			16.87	0.19	0.26	4.11
YEL054C	RPL12A		0.43	4.36	3.64	0.41
YER137C			1.11	0.7	0.76	
YOR166C			0.72	1.37	1.14	0.85
YHL006C			0.75	1.13	1.22	0.7
YFL011W	HXT10		0.5	2.14	1.18	0.72
YMR237W			1.08	1.12	0.93	1.27
YDL097C	RPN6		0.97	1	0.85	1.32
YLR200W	YKE2		1.13	0.97	0.98	1.06
YCL060C			0.94	1.03	0.93	1
YMR294W-A			2.02	0.7	0.71	1.78
YGR066C			0.86	0.91	0.83	0.95
YGL049C	TIF4632		0.83	1.41	1.27	0.91
YKL160W			1.47	0.79	0.77	1.64
YDR434W			0.7	1.57	1.21	0.81
YOL083W			1.47	0.69	0.73	1.64
YPL041C			0.34	2.49		0.3
YHR023W	MYO1		1.08	0.97	0.87	1.18
YDR100W			1.18	0.91	0.97	1.14
YLR201C			1.02	1.18	1.24	0.87
YOL149W	DCP1		0.89	1.04	1	0.97
YNL112W	DBP2		0.37	3.33	2.16	0.54
YEL055C	POL5		0.49	2.34	1.8	0.58
YER138C			15.4	0.09	0.1	12.26
YDR435C			1.06	0.73	0.72	0.91
YKL161C			0.7	1.29	0.94	1.04
YOR167C	RPS28A		0.84	2.06	1.94	0.7
YHR024C	MAS2		1.07	1.75	1.16	0.67
YDR101C			0.47	2.12	1.6	0.72
YMR172W	HOT1		0.93	1.04	1.07	0.88
YHL007C	STE20		0.53	1.81	1.51	0.62
YFL012W			1.5			1.83
YMR238W	DFG5		1.21	0.86	0.77	1.59
YJR018W			0.99	1.18	1.54	0.79
YDL098C	SNU23		1	0.9	0.94	1.06
YPR124W	CTR1		6.2	0.19	0.35	3.79
YCL061C						0.97
YPL107W			2.25	0.48	0.48	1.95
YBR186W	PCH2		0.71	1.58	1.69	0.61
YGR067C			0.45	1.8	2.09	0.45
YER072W	NRF1		2.44	0.49	0.46	2.51
YFL013C			1.26	0.76	0.61	1.31
YOL084W			1.42	0.63	0.69	1.17
YMR239C	RNT1		0.82	1.41	1.17	0.81
YJR019C	TES1		1.39	0.69	0.94	1.53
YAL058C-A			0.89	1.36	1.68	0.59
YPL042C	SSN3		1.08	1.03	0.94	0.9
YLR202C			2.4	0.52	0.53	2.23
YNL113W	RPC19		0.83	1.26	1.23	0.96
YDR370C			0.82	1.18		0.85
YER139C			1.06	0.91	0.93	1
YOL085C			0.85		0.99	1.03
YKL162C			0.56	1.48	2.39	
YML090W			2	0.49	0.39	2.28
YDR102C			0.87	0.81	0.76	0.92
YFR030W	MET10		1.18	0.87	0.87	1.16
