NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
			1.5	1.52	0.19	0.31	6.39
YEL054C	RPL12A		0.13	0.09	15.77	15.42	0.1
YER137C			1.17		0.76	0.52	
YOR166C			0.85	0.81	1.26	1.02	0.85
YHL006C			0.87	1.1	0.92	0.83	0.87
YFL011W	HXT10		0.83		1.31	1.04	1.04
YMR237W			1.2	1	1.03	0.97	1.04
YDL097C	RPN6		1.37	1.19	0.77	0.75	1.75
YLR200W	YKE2		0.81	0.82	1.23	1.1	1.07
YCL060C			1.05	1.3	0.81	0.66	1.22
YMR294W-A			1.77	1.63	0.7	0.72	1.7
YGR066C			1.54		0.53		
YGL049C	TIF4632		0.71	0.61	1.7	1.51	0.66
YKL160W			1.24	1.16	0.94	1.05	1.23
YDR434W			0.74	0.84	1.29	1.45	0.8
YOL083W			3.27	2.63	0.36	0.6	2.23
YPL041C			0.55		1.8		0.53
YHR023W	MYO1		1.1	0.97	0.99	0.91	1.25
YDR100W			1.3	1.4	0.83	0.9	1.28
YLR201C			1.04	0.98	1.02	1.04	1.13
YOL149W	DCP1		0.77	0.66	1.28	1.16	0.82
YNL112W	DBP2		0.3	0.24	4.17	2.93	0.37
YEL055C	POL5		0.52	0.41	2.6	2.29	0.46
YER138C			19	16.16	0.09	0.08	19.33
YDR435C			1.08		0.64	0.69	0.97
YKL161C			0.61	0.56	1.55	1.34	0.76
YOR167C	RPS28A		0.32	0.32	3.99	4.82	0.33
YHR024C	MAS2		1.11	0.48	2.13	1.86	0.61
YDR101C			0.36	0.36	2.89	2.54	0.41
YMR172W	HOT1		1.11	0.87	1.07	1.16	0.87
YHL007C	STE20		0.68	0.45	2	1.63	0.61
YMR238W	DFG5		1.01		1.09	1.07	1.2
YJR018W			1.04	0.92	1.15	1.27	0.77
YDL098C	SNU23		1.05	1.15	0.91	0.97	1.15
YPR124W	CTR1		8.49	8.52	0.16	0.21	5.18
YCL061C							1.05
YPL107W			2.31	2.02	0.45	0.52	2.16
