INAME	GENE	CHR	UP6_205	SIMR_UP2_185FR	"SIMR_UP2_228 HA ChIP 70 NDC10 MCD1-6HA 37?C, nocodazole 1846-15A S288c"	SIMR_UP2_230	SIMRUP2_183FR
			0.22	1.48	0.54	0.49	1.55
YEL054C	RPL12A		0.4	1.65	0.55	0.61	1.67
iDx545I			0.65	1.12	0.83	1.15	1.49
iBx028I			5.46	0.29	3.35	3.53	0.3
iLx057I			0.42	1.75	0.55	0.71	
iHx134I			3.9	0.55	1.81	1.95	0.63
iDx211I			0.75	1.02	0.83	0.67	1.05
YOR166C			1.18	0.93	1.18	1.42	0.88
iNx240I			0.56	1.83	0.49	0.48	1.64
YFL011W	HXT10		0.89	1.34	0.68	0.82	1.22
iNx306I			1.53	0.6	1.63	1.41	0.65
YDL097C	RPN6		0.43	1.67	0.62	0.69	1.65
YLR200W	YKE2		2.41	0.49	2.04	2.25	0.53
iGx177I			0.87	0.9	0.91	0.98	1.04
iMx283I			1.08	1		0.96	1
iMx349I			0.74	1.02	0.9	0.88	1.05
YKL160W			0.37	2.4	0.36	0.34	2.26
YOL083W			0.36	2.33	0.47	0.49	2.16
YPL041C			0.53	1.43	0.72	0.68	1.46
iOx532I			0.52	1.31	0.79	0.61	1.39
iMx015I			0.94	1.13	0.91	1.02	1.03
YLR201C			0.56	0.57	1.9	1.76	0.58
iBx297I			0.56	1.73	0.63	0.57	
YOL149W	DCP1		3.74	0.39	2.37	1.59	0.37
iDx480I			0.86	1.04	0.77	0.76	1.02
YEL055C	POL5		1.42	0.73	1.69	1.71	0.71
iDx546I			1.47	0.54	1.65	1.55	0.59
iBx029I			4.7	0.25	4.65	3.8	0.27
YER138C			0.88	1.16	1.47	1.55	1.07
YKL161C			0.49	2.49	0.48	0.47	2.41
iLx058I			1.25	0.89	1.4	1.57	0.68
iHx135I			0.77	1.71	0.5	0.47	1.8
iDx212I			0.74	1.79	0.72	0.76	2.03
YOR167C	RPS28A		0.41	1.59	0.52	0.52	1.5
iNx241I			3.92	0.27	3.08	2.88	0.24
YFL012W			0.71	1.9	0.55	0.66	1.59
