INAME	GENE	CHR	SIMR_UP2_184FR	SIMR_UP2_229	SIMR_UP2_231
	EMPTY	0	  1.60	  1.07	  0.45
YEL054C	RPL12A	5	  1.38	  0.97	  0.76
iDx545I		0	  1.24	  1.08	  0.71
iBx028I		2	  0.46	  0.57	  1.92
YER137C		5	  0.82	  1.99	  0.99
iLx057I		0	  2.41	  0.64	  0.43
iHx134I		0	  0.63		  1.77
iDx211I		0	  0.80	  1.88	  0.82
YOR166C		15	  0.81	  0.54	  1.35
iNx240I		0	  1.08	  1.86	  0.86
YFL011W	HXT10	6	  1.03	  2.86	  0.98
iNx306I		0	  0.75	  0.57	  1.21
				  1.02	
YDL097C	RPN6	4	  1.36		  0.82
YLR200W	YKE2	12	  0.65	  1.38	  1.63
iGx177I		0	  0.93	  1.29	  0.91
iMx283I		0	  0.95	  0.56	  1.19
iMx349I		0	  0.87	  1.28	  1.14
YKL160W		11	  1.51	  1.50	  0.56
YOL083W		15	  1.40	  0.79	  1.04
YPL041C		16	  1.09		  1.02
iOx532I		0	  0.98	  0.62	  1.05
iMx015I		0	  0.67	  1.77	  1.47
YLR201C		12	  0.64	  0.80	  1.56
iBx297I		0	  0.85		  1.14
YOL149W	DCP1	15	  0.62	  1.09	  1.44
iDx480I		0	  0.96	  0.65	  0.82
YEL055C	POL5	5	  0.72	  1.46	  1.66
iDx546I		0	  1.03	  0.74	  1.26
iBx029I		0	  0.46		  2.15
YER138C		5	  1.24	  0.57	  1.52
YKL161C		11	  1.65	  1.95	  0.74
iLx058I		0	  1.14	  2.00	  0.73
iHx135I		0	  1.29	  1.19	  0.60
iDx212I		0	  1.20	  1.77	  0.97
YOR167C	RPS28A	15	  1.18	  0.52	  0.59
iNx241I		0	  0.36	  1.77	  2.16
YFL012W		6	  1.43	  0.85	  0.62
iNx307I		0	  0.84	  0.66	  0.99
YJR018W		10	  1.26		  0.55
YDL098C	SNU23	4	  1.15	  1.22	  1.06
YPR124W	CTR1	16	  0.79		
iGx178I		0	  1.12	  1.20	  0.60
YPL107W		16	  0.81	  2.59	  1.57
iMx284I		0	  1.15	  0.76	  0.80
YER072W	NRF1	5	  1.10	  1.21	  0.99
YFL013C		6	  1.26	  1.04	  0.77
YOL084W		15	  1.21	  0.58	  0.76
YJR019C	TES1	10	  1.65	  0.69	  0.78
YAL058C-A		1	  1.24	  1.67	  0.63
YPL042C	SSN3	16	  0.60	  1.30	  1.96
iOx533I		0	  1.52	  1.29	  0.59
iMx016I		0	  1.29		  0.43
YLR202C		12	  0.67	  1.25	  1.21
iBx298I		0	  1.16		  0.91
iDx481I		0	  1.28	  0.83	  0.70
iHx070I		0	  1.25	  0.61	  0.60
iDx547I		0	  0.63	  1.02	  1.60
YER139C		5	  1.48	  0.68	  0.66
YOL085C		15	  1.64	  0.80	  0.49
YKL162C		11	  1.03	  1.02	  1.22
iLx059I		0	  0.58	  1.97	  1.81
iHx136I		0	  1.51		  0.57
iDx213I		0	  1.36	  1.46	  0.75
YFR030W	MET10	6	  0.54	  1.61	  1.74
iNx242I		0	  1.02	  0.75	  0.85
iNx308I		0	  1.56	  0.85	  0.73
iCx190I		3	  0.78	  0.58	  1.16
YPR125W		16	  0.96	  0.48	  0.77
iGx179I		0	  2.02	  0.58	  0.41
YPL108W		16	  1.09		  0.90
iMx285I		0	  0.45	  0.47	  1.86
YER073W	ALD5	5	  1.23	  1.00	  0.91
YEL056W	HAT2	5	  0.56	  0.65	  1.63
YFR031C	SMC2	6	  0.52	  0.85	  2.14
YPR060C	ARO7	16	  0.55	  1.56	  1.76
iOx534I		0	  0.89	  1.02	  1.02
iMx017I		0	  1.55	  0.90	  0.52
YOR168W	GLN4	15	  0.83	  0.49	  1.07
YPR126C		16	  0.83	  0.78	  1.06
YLR203C	MSS51	12	  1.13	  1.25	  0.79
iBx299I		0	  0.73		  0.88
iOx200I		0	  0.96	  0.96	  1.20
YPL109C		16	  1.43	  0.79	  0.75
iDx482I		0	  0.98		  0.65
YDL099W		4	  1.28	  0.80	  0.96
iHx071I		0	  0.28	  1.45	  2.89
YEL057C		5	  0.80	  1.00	  1.14
iDx548I		0	  1.15	  0.64	  1.12
YOL086C	ADH1	15	  1.80	  0.59	  0.56
iHx137I		0	  0.89	  1.05	  0.74
iDx214I		0	  1.27	  0.56	  0.86
YOR169C		15	  0.53	  0.49	  1.66
iNx243I		0	  0.91	  0.50	  0.89
iJx320I		0	  1.20	  1.21	  0.60
YFL014W	HSP12	6	  0.91	  0.36	  1.24
iNx309I		0	  1.58	  1.28	  0.53
iCx191I		0	  0.87	  0.66	
YPL043W	NOP4	16	  0.55	  1.42	  2.09
iMx286I		0	  0.87	  0.83	  0.93
YER074W	RPS24A	5	  0.92	  1.70	  1.42
YFR032C		6	  1.07	  0.98	  1.05
YFL015C		6	  1.01	  0.55	  0.71
YPR061C		16	  1.35	  0.72	  0.81
YGL240W	DOC1	7	  1.74	  0.67	  0.74
YKL163W	PIR3	11	  1.19	  0.50	  1.12
YPL044C		16	  1.01	  0.43	  0.87
iOx535I		0	  0.55	  1.34	  1.93
iMx018I		0	  1.79	  1.73	  0.52
iOx201I		0	  1.52		
iDx483I		0	  1.25	  0.96	  0.73
YER075C	PTP3	5	  0.57	  0.64	  1.98
iHx072I		0	  1.30	  0.64	  0.64
iDx549I		0	  0.98	  0.69	  1.09
YOL087C		15	  1.09	  0.66	  0.87
YKL164C	PIR1	11	  1.17	  0.69	  0.99
iHx138I		0	  0.80	  1.17	  1.40
iDx215I		0	  0.91	  0.84	  1.23
iJx321I		10	  0.74	  1.06	  1.32
iNx244I		0	  0.32	  0.47	  2.77
iCx192I		3	  0.87	  0.57	  0.96
YPR127W		16	  0.56	  1.33	  1.94
YLR204W	QRI5	12	  1.72	  0.70	  0.54
YMR153C-A		13	  0.70	  0.68	  1.51
iMx287I		0	  1.58	  0.78	  0.47
YFR033C	QCR6	6	  1.93		  0.65
YEL058W	PCM1	5	  1.03	  0.79	  0.86
iOx470I		0	  0.99	  2.68	  0.93
iIx030I		0	  0.53	  0.57	  1.98
YFL016C	MDJ1	6	  1.24	  0.75	  0.78
YGL241W				  1.56	
iOx536I		0	  2.01	  0.63	  0.47
iMx019I		0	  0.72	  0.55	  1.38
YPR128C		16	  0.60	  1.28	  1.52
YLR205C		12	  1.60		  0.54
iOx202I		0	  1.73	  0.49	  0.61
iDx484I		0	  1.03	  2.33	  0.93
YER076C		5	  1.07	  0.86	  1.09
iHx073I		0	  1.12	  1.17	  0.69
iDx150I		0	  0.45	  0.82	  1.89
YOL088C	MPD2	15	  1.10	  1.30	  1.00
YKL165C	MCD4	11	  1.14	  1.78	  0.84
YGL242C		7	  0.98	  1.28	  1.05
iHx139I		0	  0.82	  1.34	  1.29
iDx216I		0	  1.67	  0.74	  0.50
YBR110W	ALG1	2	  0.86	  0.79	  1.13
iNx245I		0	  0.46	  1.11	  2.09
iJx322I		0	  0.87	  1.23	  0.87
YPR062W	FCY1	16	  1.50	  0.87	  0.71
iCx193I		0	  0.85	  0.64	  1.61
YPL045W	VPS16	16	  1.24	  0.76	  0.71
iMx288I		0	  1.10	  0.57	  0.80
YFR034C	PHO4	6	  2.16	  0.70	  0.47
YEL059W		5	  1.34	  0.64	  0.52
YBR111C	YSA1	2	  0.56	  0.50	  1.68
iOx471I		0	  0.41	  0.96	  2.62
iIx031I		0	  1.50	  0.81	  0.49
YFL017C	GNA1	6	  1.14	  1.59	  1.13
YPR063C		16	  1.45	  1.05	  0.73
YPL046C	ELC1	16	  1.40	  3.64	  0.87
iOx537I		0	  1.01	  1.24	  0.83
iOx203I		0	  0.97	  0.41	  1.05
iDx485I		0	  1.41		  0.77
YER077C		5	  1.42		  0.77
iHx074I		0	  1.81	  2.00	  0.37
iDx151I		0	  1.37	  0.74	  0.65
iNx180I		0	  1.19	  0.63	  0.68
YOL089C	HAL9	15	  0.45	  1.37	  2.50
YKL166C	TPK3	11	  0.70	  0.91	  0.99
iDx217I				  0.66	  0.42
iNx246I		0	  1.50	  1.13	  0.54
iJx323I		0	  1.14	  1.05	  0.79
YLR140W		12	  1.09	  1.03	  0.91
iCx194I		0	  0.93	  1.35	  1.27
YLR206W	ENT2	12	  1.51	  0.58	  0.81
iMx289I		0	  1.21	  0.96	  0.97
YFR035C		6	  1.51	  1.27	  0.75
YBR112C	CYC8	2	  1.03	  0.60	  0.90
iOx472I		0	  1.42	  0.49	  0.62
iIx032I		0	  1.53	  1.55	  0.44
YGR260W		7	  0.63	  0.64	  1.88
YFL018C	LPD1	6	  0.82	  1.14	  1.35
YGL243W	TAD1	7	  0.79	  0.52	  1.48
iOx538I		0	  1.12	  0.58	  0.95
iOx204I		0	  1.14	  0.79	  0.84
iDx486I		0	  1.27	  0.43	  0.78
YER078C		5	  1.83	  0.88	  0.63
iHx075I		8	  1.68	  0.77	  0.54
iDx152I		0	  2.15	  0.57	  0.66
YGR261C	APL6	7	  0.54	  1.06	  1.94
iNx181I		0	  0.89	  1.36	  1.10
YKL167C	MRP49	11	  0.95		  0.95
iDx218I		0	  0.98	  1.29	  0.91
iNx247I		0	  1.49	  0.58	  0.45
iJx324I		0	  1.19	  1.16	  0.87
iPx430I		0	  1.13	  0.92	  0.72
YPR064W		16	  2.12	  0.69	  0.46
YLR141W	RRN5	12	  1.77	  1.64	  0.52
iCx195I		3	  0.95	  0.86	  1.21
YPL047W		16	  1.58		  0.76
YLR207W	HRD3	12	  1.18	  1.87	  0.93
YBL030C	PET9	2	  0.88	  0.49	  0.83
iEx110I				  0.55	
iOx473I		0	  1.53	  0.73	  0.57
iIx033I		0	  1.92	  0.67	  0.33
YFL019C		6	  0.68	  1.34	  1.00
YGL244W	RTF1	7	  1.22	  0.62	  0.74
iOx539I		0	  0.76	  0.75	  1.52
iOx205I		0	  1.27	  0.53	  0.60
iDx487I		0	  0.28		  4.62
iHx076I		0	  0.76	  0.47	  1.31
iDx153I		0	  0.99	  2.27	  0.82
YGR262C		7	  1.05	  0.57	  1.28
iNx182I		0	  0.80	  1.04	  1.33
YKL168C	KKQ8	11	  0.76	  1.10	  1.46
iDx219I		0	  0.95	  2.12	  0.85
YBR113W		2	  1.52	  0.70	  0.52
iNx248I		0	  1.63	  0.91	  0.44
iJx325I		0	  0.88	  1.04	  0.93
YFR036W	CDC26	6	  0.93	  1.11	  1.06
iPx431I		16	  1.08	  0.76	  0.68
YPR065W	ROX1	16	  1.02	  0.66	  0.79
YLR142W	PUT1	12	  1.09	  1.71	  1.06
iCx196I		3	  1.20	  1.93	  1.45
YPL048W	CAM1	16	  1.89	  1.35	  0.68
