INAME	GENE	CHROMO	SIMRUP2_170FR	SIMRUP2_171FR	SIMRUP2_178	SIMRUP2_180	SIMRUP2_147FR
	EMPTY		  1.16	  1.12	  0.61	  0.79	  1.50
YEL054C	RPL12A		  2.34	  2.23	  0.38	  0.36	  2.31
iDx545I			  1.15	  1.17	  0.92	  0.86	  1.18
iBx028I			  0.52	  0.42	  2.68	  2.47	  0.36
YER137C						  1.31	
iLx057I			  2.71	  2.97	  0.42	  0.43	  2.38
iHx134I			  0.22	  0.22	  3.77	  3.83	  0.23
iDx211I			  0.88	  0.92	  0.85	  0.90	
YOR166C			  0.94	  0.95	  1.29	  1.18	  0.88
iNx240I			  2.13	  1.94	  0.45	  0.44	  2.12
YFL011W	HXT10		  1.37	  1.43	  1.05	  0.88	  1.13
iNx306I			  0.50	  0.48	  1.60	  2.03	  0.55
YDL097C	RPN6		  2.10	  2.19	  0.54	  0.52	  1.74
YLR200W	YKE2		  0.40	  0.42	  2.47	  2.57	  0.38
iGx177I			  1.22	  1.18	  0.89	  0.83	  1.19
iMx283I			  1.02	  0.96	  1.00	  0.98	  1.17
iMx349I			  1.20	  1.24	  0.69	  0.74	  1.19
YKL160W			  2.40	  2.21	  0.41	  0.42	  2.12
YOL083W			  2.29	  2.37	  0.40	  0.45	  2.42
YPL041C			  1.31	  1.44	  0.59	  0.67	  1.63
iOx532I			  1.13	  1.14	  0.71	  0.78	  1.30
iMx015I			  0.59	  0.66	  1.60	  1.79	  0.79
YLR201C			  0.44	  0.45	  2.52	  2.50	  0.46
iBx297I			  1.75	  1.83	  0.59	  0.68	  1.79
YOL149W	DCP1		  0.44	  0.37	  2.70	  2.78	  0.40
iDx480I				  0.89	  0.94	  0.86	  0.82
YEL055C	POL5		  0.96	  0.97	  1.44	  1.03	  0.89
iDx546I			  0.64	  0.74	  1.56	  1.49	  0.60
iBx029I			  0.36	  0.34	  3.28	  3.27	  0.31
YER138C			  0.76	  0.75	  1.56	  1.66	  0.87
YKL161C			  1.94	  2.14	  0.47	  0.49	  1.93
iLx058I			  0.94	  1.02	  1.32	  1.10	  0.81
iHx135I			  1.79	  1.86	  0.58	  0.51	  1.65
iDx212I			  1.51	  1.49	  1.05	  0.81	  1.06
YOR167C	RPS28A		  1.94	  1.99	  0.46	  0.43	  1.85
iNx241I			  0.35	  0.36	  3.88	  2.77	  0.33
YFL012W			  1.63	  1.67	  0.60	  0.61	  1.52
iNx307I			  0.70	  0.78	  1.25	  1.40	  0.71
YJR018W			  1.05	  1.18	  1.04	  1.00	  0.94
YDL098C	SNU23		  1.23	  1.39	  0.86	  0.79	  1.12
YPR124W				  1.03	  1.05	  0.89	  0.78
iGx178I			  2.12	  2.29	  0.34	  0.40	  2.41
YPL107W			  0.56	  0.61	  2.05	  1.91	  0.50
iMx284I			  1.75	  1.66	  0.43	  0.49	  1.84
YER072W	NRF1		  1.72	  1.83	  0.51	  0.55	  1.82
YFL013C			  1.33	  1.41	  0.91	  0.83	  1.20
YOL084W			  2.14	  2.01	  0.40	  0.42	  1.99
YJR019C	TES1		  0.92	  0.91	  1.11	  1.30	  1.01
YAL058C-A			  2.00	  2.06	  0.51	  0.51	  1.86
YPL042C	SSN3		  0.41	  0.47	  2.47	  2.65	  0.43
iOx533I			  2.28	  2.21	  0.44	  0.46	  1.96
iMx016I			  1.92	  2.02	  0.41	  0.44	  2.43
YLR202C			  0.57	  0.55	  1.61	  1.68	  0.61
iBx298I			  2.07	  2.15	  0.63	  0.56	  1.85
iDx481I			  1.95	  1.71	  0.55	  0.60	  1.60
iHx070I			  1.11	  1.09	  0.96	  0.92	  1.05
iDx547I			  0.50	  0.43	  2.82	  2.48	  0.38
YER139C			  2.01	  2.13	  0.35	  0.48	  2.77
YOL085C			  2.45	  2.61	  0.69	  0.32	  1.39
YKL162C			  1.37	  1.47	  0.81	  0.83	  1.31
iLx059I			  0.25	  0.24	  5.48	  4.86	  0.21
iHx136I			  1.91	  1.92	  0.43	  0.46	  2.21
iDx213I			  2.53	  2.13	  0.63	  0.41	  1.52
YFR030W	MET10		  0.35	  0.39	  2.71	  2.61	  0.37
iNx242I			  1.09	  1.18	  0.84	  1.05	  1.32
iNx308I			  1.56	  1.56	  0.59	  0.57	  1.65
