INAME	GENE	CHR	SIMR_UP2_190FR	SIMR_UP2_244
	EMPTY	0	1.07	0.56
YEL054C	RPL12A	5	1.77	0.46
iDx545I		0	1.35	0.66
iBx028I		2	0.4	2.32
YER137C		5	0.5	
iLx057I		0	1.54	0.61
iHx134I		0	0.27	2.49
iDx211I		0	0.82	1.12
YOR166C		15	1.04	0.91
iNx240I		0	1.56	0.41
YFL011W	HXT10	6	1.4	0.94
iNx306I		0	0.64	1.41
YDL097C	RPN6	4	1.79	0.6
YLR200W	YKE2	12	0.55	1.6
iGx177I		0	1.2	0.73
iMx283I		0	0.83	1.14
iMx349I		0	1.11	0.85
YKL160W		11	2.15	0.35
YOL083W		15	2.27	0.39
YPL041C		16	1.16	0.73
iOx532I		0	1.15	0.77
iMx015I		0	1.47	0.86
YLR201C		12	0.6	1.61
iBx297I		0	1.53	0.72
YOL149W	DCP1	15	0.62	1.38
iDx480I		0	0.83	0.87
YEL055C	POL5	5	0.88	1.16
iDx546I		0	0.96	0.58
iBx029I		0	0.4	2.53
YER138C		5	0.8	1.24
YKL161C		11	1.96	0.43
iLx058I		0	0.73	1.35
iHx135I		0	1.53	0.62
iDx212I		0	1.46	0.73
YOR167C	RPS28A	15	1.54	0.42
iNx241I		0	0.37	2.89
YFL012W		6	1.58	0.69
iNx307I		0	0.7	1.18
YJR018W		10	1.2	0.79
YDL098C				0.93
YPR124W	CTR1	16	0.81	
iGx178I		0	1.75	0.4
YPL107W		16	0.88	0.88
iMx284I		0	1.17	0.62
YER072W	NRF1	5	1.35	0.53
YFL013C		6	1.38	0.77
YOL084W		15	2.11	0.4
YJR019C	TES1	10	1.3	0.92
YAL058C-A		1	1.69	0.44
YPL042C	SSN3	16	0.48	1.51
iOx533I		0	1.4	0.42
iMx016I		0	1.91	0.39
YLR202C		12	0.77	1.07
iBx298I		0	1.67	0.65
iDx481I		0	1.46	0.69
iHx070I		0	1.05	0.81
iDx547I		0	0.91	1.39
YER139C		5	1.86	0.37
YOL085C		15	2	0.36
YKL162C		11	1.35	0.69
iLx059I		0	0.27	3.29
iHx136I		0	1.39	0.46
iDx213I		0	1.41	0.66
YFR030W	MET10	6	0.36	1.5
iNx242I		0	1.15	0.69
iNx308I				0.56
iCx190I		3	0.7	1.15
YPR125W		16	0.94	
iGx179I		0	2.01	0.39
YPL108W		16	1.53	0.52
iMx285I		0	0.66	2.1
YER073W	ALD5	5	1.75	0.51
YEL056W	HAT2	5	0.71	1.19
YFR031C	SMC2	6	0.38	1.5
YPR060C	ARO7	16	0.42	1.85
iOx534I		0	1.11	0.73
iMx017I		0	2.12	0.37
YOR168W	GLN4	15	0.91	0.85
YPR126C		16	0.98	0.75
YLR203C	MSS51	12	1.33	0.65
iBx299I		0	1.01	0.81
iOx200I		0	0.57	1.39
YPL109C		16	2.02	0.56
iDx482I		0	1.51	0.54
YDL099W		4	1.65	0.7
iHx071I		0	0.16	4.21
YEL057C		5	0.72	1.26
iDx548I		0	1.2	0.74
YOL086C	ADH1	15	2.02	0.36
iHx137I		0	1.48	0.53
iDx214I		0	1.41	0.63
YOR169C		15	0.51	
iNx243I		0	1.22	0.74
iJx320I		0	1.6	0.45
YFL014W	HSP12	6	1.06	1.14
iNx309I		0	1.64	0.39
iCx191I		0	0.67	1.24
YPL043W	NOP4	16	0.36	1.74
iMx286I		0	1.03	0.91
YER074W	RPS24A	5	0.86	0.82
YFR032C		6	1.89	0.64
YFL015C		6	1.17	
YPR061C		16	1.56	0.5
YGL240W	DOC1	7	2.3	0.5
