INAME	GENE	CHR	SIMR_UP2_191FR	SIMR_UP2_254
	EMPTY	0	1	0.85
YEL054C	RPL12A	5	1.47	0.53
iDx545I		0	1.3	0.7
iBx028I		2	0.46	1.92
YER137C		5	0.38	
iLx057I		0	1.62	0.7
iHx134I		0	0.41	2.59
iDx211I		0	0.77	0.88
YOR166C		15	1.22	0.99
iNx240I		0	1.83	0.46
YFL011W	HXT10	6	1.18	0.91
iNx306I		0	0.82	1.21
YDL097C	RPN6	4	2.04	0.82
YLR200W	YKE2	12	0.65	1.45
iGx177I		0	1.17	0.79
iMx283I		0	0.87	1.13
iMx349I		0	1.33	0.71
YKL160W		11	1.65	0.57
YOL083W		15	1.89	0.47
YPL041C		16	1.28	0.66
iOx532I		0	1.1	0.77
iMx015I		0	1.24	0.66
YLR201C		12	0.78	1.36
iBx297I		0	1.57	0.94
YOL149W	DCP1	15	0.67	1.29
iDx480I		0	0.77	0.95
YEL055C	POL5	5	1	1.37
iDx546I		0	1.02	0.77
iBx029I		0	0.44	2.51
YER138C		5	0.92	
YKL161C		11	1.74	0.71
iLx058I		0	0.89	1.27
iHx135I		0	1.5	0.79
iDx212I		0	1.25	0.87
YOR167C	RPS28A	15	1.26	0.59
iNx241I		0	0.46	3.05
YFL012W		6	1.29	0.64
iNx307I				1.15
YJR018W		10	1.15	0.73
YDL098C				0.86
YPR124W	CTR1	16	0.72	1.01
iGx178I		0	1.56	0.48
YPL107W		16	0.81	1.21
iMx284I		0	1.14	0.94
YER072W	NRF1	5	1.2	0.7
YFL013C		6	1.11	0.92
YOL084W		15	2	0.46
YJR019C	TES1	10	1.4	0.94
YAL058C-A		1	1.33	0.42
YPL042C	SSN3	16	0.71	1.57
iOx533I		0	1.26	0.59
iMx016I		0	1.66	0.47
YLR202C		12	1.1	0.91
iBx298I		0	1.21	0.83
iDx481I		0	1.11	0.82
iHx070I		0	1.15	0.97
iDx547I		0	0.91	1.21
YER139C		5	1.76	0.51
YOL085C		15	1.25	0.51
YKL162C		11	1.43	0.78
iLx059I		0	0.3	2.93
iHx136I		0	1.25	0.6
iDx213I		0	1.28	0.64
YFR030W	MET10	6	0.51	2
iNx242I		0	1.33	0.92
iNx308I		0	1.92	0.61
iCx190I		3	0.62	1.52
YPR125W		16	0.95	0.91
iGx179I		0	2.01	0.52
YPL108W		16	1.39	0.59
iMx285I		0	0.76	1.76
YER073W	ALD5	5	1.4	0.63
YEL056W	HAT2	5	0.79	1.2
YFR031C	SMC2	6	0.46	2.38
YPR060C	ARO7	16	0.55	1.77
iOx534I		0	1.01	0.91
iMx017I		0	1.77	0.48
YOR168W	GLN4	15	1.21	1.02
YPR126C		16	0.98	0.67
YLR203C	MSS51	12	1.56	0.68
iBx299I		0	1.05	0.72
iOx200I		0	0.69	1.34
YPL109C		16	1.75	0.62
iDx482I		0	1.26	0.67
YDL099W		4	1.31	0.86
iHx071I		0	0.2	4.98
YEL057C		5	0.76	1.29
iDx548I		0	1.28	0.75
YOL086C	ADH1	15	1.8	0.49
iHx137I		0	1.38	0.5
iDx214I		0	1.32	0.72
YOR169C		15	0.66	
iNx243I		0	1.27	0.72
iJx320I		0	1.52	0.48
YFL014W	HSP12	6	0.86	0.99
iNx309I		0	1.41	0.44
iCx191I		0	0.68	1.6
YPL043W	NOP4	16	0.45	2.2
iMx286I		0	1.11	0.98
YER074W	RPS24A	5	0.84	1.2
YFR032C		6	1.62	0.79
YFL015C		6	0.86	
YPR061C		16	1.35	0.6
YGL240W	DOC1	7	1.78	0.57
YKL163W	PIR3	11	1.36	0.73
YPL044C		16	1.16	0.79
iOx535I		0	0.71	1.42
iMx018I		0	1.91	0.54
iOx201I		0	1.22	0.64
iDx483I		0	1.79	0.52
YER075C	PTP3	5	0.57	2.19
iHx072I		0	1.36	0.75
iDx549I		0	1.44	0.62
YOL087C		15	1.34	0.86
YKL164C	PIR1	11	1.18	0.88
iHx138I		0	0.99	0.92
iDx215I		0	0.99	0.73
iJx321I		10	1	0.73
iNx244I		0	0.21	3.95
iCx192I		3	0.66	1.54
YPR127W		16	0.7	1.41
YLR204W	QRI5	12	1.58	0.45
YMR153C-A		13	0.67	1.18
iMx287I				0.55
YFR033C	QCR6	6	1.44	0.9
YEL058W	PCM1	5	0.9	0.88
iOx470I		0	1.31	0.69
iIx030I		0	0.68	1.34
YFL016C	MDJ1	6	1	0.71
YGL241W	KAP114	7	0.81	
iOx536I		0	1.77	0.37
iMx019I		0	0.6	
YPR128C		16	0.92	1.13
YLR205C		12	1.94	
iOx202I		0	1.53	0.77
iDx484I		0	1.32	0.67
YER076C		5	1.09	0.81
iHx073I		0	0.87	0.97
iDx150I		0	0.34	2.8
YOL088C	MPD2	15	1.38	0.75
YKL165C	MCD4	11	1.39	0.71
YGL242C		7	1.28	0.73
iHx139I		0	1.15	1.01
iDx216I		0	1.41	0.81
YBR110W	ALG1	2	1.01	0.87
iNx245I		0	0.41	3.27
iJx322I		0	1.31	0.64
YPR062W	FCY1	16	1.4	0.47
iCx193I		0	0.73	2.08
YPL045W	VPS16	16	1.47	0.59
iMx288I		0	1.46	0.61
YFR034C	PHO4	6	1.53	0.54
YEL059W		5	1.4	0.44
YBR111C	YSA1	2	0.57	1.95
iOx471I		0	0.4	
iIx031I		0	1.85	0.41
YFL017C	GNA1	6	0.98	0.74
YPR063C		16	1.42	0.58
YPL046C	ELC1	16	1.39	0.66
iOx537I		0	1.4	0.73
iOx203I		0	0.66	1.54
iDx485I		0	1.44	0.67
YER077C		5	1.5	0.68
iHx074I		0	1.57	0.5
iDx151I		0	1.42	0.6
iNx180I		0	1.79	0.49
YOL089C	HAL9	15	0.52	2.1
YKL166C	TPK3	11	0.38	
iDx217I		0	1.57	
iJx323I				0.63
iNx246I		0	1.53	0.68
YLR140W		12	0.86	0.79
iCx194I		0	0.84	1.73
YLR206W	ENT2	12	1.44	0.69
iMx289I		0	1.72	0.7
YFR035C		6	1.43	0.55
YBR112C	CYC8	2	0.86	1.12
iOx472I		0	1.32	0.61
iIx032I		0	1.62	0.46
YGR260W		7	0.64	1.58
YFL018C	LPD1	6	0.73	1.32
YGL243W	TAD1	7	1.04	1.14
iOx538I		0	1.74	0.63
iOx204I		0	1.26	0.96
iDx486I		0	1.89	0.58
YER078C		5	1.57	0.7
iHx075I		8	1.65	0.58
iDx152I		0	1.48	0.63
YGR261C	APL6	7	0.67	1.53
iNx181I		0	1.46	0.72
YKL167C	MRP49	11	1.23	0.72
iDx218I		0	0.99	0.96
iNx247I		0	1.49	0.5
iJx324I		0	1.15	0.53
iPx430I		0	1.23	0.81
YPR064W		16	1.63	0.47
YLR141W	RRN5	12	1.21	0.69
iCx195I		3	0.91	1.49
YPL047W		16	1.31	0.62
YLR207W	HRD3	12	1.36	0.89
YBL030C	PET9	2	1.41	0.75
iOx473I		0	1.61	0.49
iIx033I		0	1.71	0.56
YFL019C		6	0.67	1.15
YGL244W	RTF1	7	1.51	0.57
iOx539I		0	1	0.96
iOx205I		0	1.21	0.86
iDx487I		0	0.26	3.87
iHx076I		0	0.63	1.57
iDx153I		0	1.11	0.95
YGR262C		7	1.16	0.61
iNx182I		0	1.04	0.77
