INAME	GENE	CHROMO	HongGuo SK1 mitosis MycMcd1 ChIP +NZ 	HongGuo SK1 mitosis NZ MycMcd1p ChIP
		Q	  0.53	  0.49
YEL054C	RPL12A	5	  0.65	  0.59
iDx545I		4	  0.47	  0.46
iBx028I		2	  1.95	
YER137C		5	  1.00	  1.12
iLx057I		12	  0.88	  0.91
iHx134I		8	  2.43	  1.93
iDx211I		4	  1.21	  1.34
YOR166C		15	  1.04	  0.92
iNx240I		14	  0.50	  0.48
YFL011W	HXT10	6	  1.37	  1.43
iNx306I		14	  2.20	  2.74
YDL097C	RPN6	4	  0.64	  0.60
YLR200W	YKE2	12	  1.14	  1.16
iGx177I				  0.81
iMx283I		13	  1.22	  1.27
iMx349I		13	  0.76	  0.75
YKL160W		11	  0.59	  0.52
YOL083W		15	  0.55	  0.53
YPL041C		16	  0.57	  0.52
iOx532I		15	  0.80	  0.79
iMx015I		13	  1.71	  1.36
YLR201C		12	  0.50	  0.46
iBx297I		2	  0.73	  0.67
YOL149W	DCP1	15	  1.34	  1.19
iDx480I		4	  0.94	  1.05
YEL055C	POL5	5	  1.03	  1.05
iDx546I		4	  0.59	  0.63
iBx029I		2	  1.91	  2.15
YER138C		5	  1.57	  1.63
YKL161C		11	  0.81	  0.88
iLx058I		12	  1.34	  1.37
iDx212I		4	  0.90	  0.74
YOR167C	RPS28A	15	  0.54	  0.49
iNx241I		14	  1.44	  1.53
YFL012W		6	  1.14	  0.99
iNx307I		14	  2.43	  2.47
YJR018W		10	  0.85	  0.90
YDL098C	SNU23	4	  0.75	  0.78
YPR124W	CTR1	16	  0.59	  0.59
iGx178I		7	  0.97	  1.05
YPL107W		16	  1.60	  1.55
iMx284I		13	  0.74	  0.66
YER072W	NRF1	5	  0.51	  0.47
YFL013C		6	  0.94	  1.06
YOL084W		15	  0.50	  0.56
YJR019C	TES1	10	  0.86	  0.93
YAL058C-A		1	  0.68	  0.59
YPL042C	SSN3	16	  1.63	  1.63
iMx016I				  0.42
iOx533I		15	  0.73	  0.68
YLR202C		12	  0.59	  0.50
iBx298I		2	  1.06	  0.90
iDx481I		4	  1.00	  1.01
iHx070I		8	  1.89	  1.66
iDx547I		4	  1.17	  1.10
YER139C		5	  0.85	  0.79
YOL085C		15	  0.79	  0.75
YKL162C		11	  1.00	  0.91
iLx059I		12	  4.67	  5.44
iHx136I		8	  0.65	  0.65
iDx213I		4	  0.58	  0.57
YFR030W	MET10	6	  1.89	  1.90
iNx242I		14	  1.27	  1.08
iNx308I		14	  1.80	  3.66
iCx190I		3	  1.54	  1.49
YPR125W		16	  0.83	  0.84
iGx179I		7	  0.80	  0.71
YPL108W		16	  0.98	  0.91
iMx285I		13	  1.57	  1.66
YER073W	ALD5	5	  0.77	  0.78
YFR031C	SMC2	6	  1.03	  1.03
YEL056W	HAT2	5	  1.27	  1.35
YPR060C	ARO7	16	  1.58	  1.29
iOx534I		15	  0.62	  0.49
iMx017I		13	  0.64	
YOR168W	GLN4	15	  0.80	  0.89
YPR126C		16	  0.66	  0.65
YLR203C	MSS51	12	  0.47	  0.45
iBx299I		2	  1.01	  0.96
iOx200I		15	  3.01	  3.05
YPL109C		16	  0.78	  0.75
iDx482I		4	  1.04	  1.09
YDL099W		4	  0.78	  0.73
iHx071I		8	  6.54	  7.78
YEL057C		5	  0.83	  0.82
iDx548I		4	  0.71	  0.75
YOL086C	ADH1	15	  0.46	  0.46
iHx137I		8	  0.66	  0.75
iDx214I		4	  0.33	  0.32
YOR169C		15	  1.48	  1.65
iJx320I				  0.48
iNx243I		14	  0.75	  0.73
YFL014W	HSP12	6	  1.50	  1.60
iNx309I		14	  3.52	  3.67
iCx191I		3	  1.61	  1.70
YPL043W	NOP4	16	  1.63	  1.44
iMx286I		13	  0.83	  0.71
YER074W	RPS24A	5	  1.01	  1.04
YFR032C		6	  1.04	  1.01
YFL015C		6	  1.09	  0.99
YPR061C		16	  0.62	  0.49
YGL240W	DOC1	7	  0.47	  0.49
YKL163W	PIR3	11	  1.01	  1.12
YPL044C		16	  0.88	  0.76
iOx535I		15	  1.13	  1.12
iMx018I		13	  0.71	  0.82
iOx201I				  0.77
iDx483I		4	  0.81	  0.86
YER075C	PTP3	5	  1.60	  1.84
iHx072I		8	  0.62	  0.50
iDx549I		4	  0.57	  0.55
YOL087C		15	  0.86	  0.80
YKL164C	PIR1	11	  1.25	  1.63
iHx138I		8	  0.91	  0.85
iDx215I		4	  0.80	  0.91
iNx244I		14	  2.06	  2.63
iJx321I		10	  0.73	  0.62
iCx192I		3	  1.50	  1.34
YPR127W		16	  0.92	  0.87
YLR204W	QRI5	12	  0.54	
YMR153C-A		13	  1.06	  0.91
iMx287I		13	  0.50	  0.46
YFR033C	QCR6	6	  0.58	  0.58
YEL058W	PCM1	5	  0.62	
iOx470I		15	  0.69	  0.57
iIx030I		9	  1.44	  1.97
YFL016C	MDJ1	6	  0.76	  0.85
YGL241W	KAP114	7	  0.90	  0.99
iOx536I		15	  0.47	  0.48
iMx019I		13	  0.94	  0.83
YPR128C		16	  0.78	  0.84
YLR205C		12	  1.01	  0.94
iOx202I		15	  1.10	  1.06
iDx484I		4	  0.87	  0.80
