 # Name First_bps Last_bps PlotLen   CenLow  CenHigh
 1 I            0 -         234000   151457  151595
 2 II      230204 -         816000   238168  238284
 3 III    1043346 -         320000   114379  114495
 4 IV     1358685 -        1536000   449707  449818
 5 V      2890659 -         582000   151960  152113
 6 VI     3467529 -         276000   148503  148621
 7 VII    3737677 -        1092000   496914  497032
 8 VIII   4828613 -         564000   105579  105696
 9 IX     5391251 -         444000   355626  355743
10 X      5831136 -         750000   436000  436116
11 XI     6576576 -         672000   439774  439888
12 XII    7243024 -        1080000   150827  150946
13 XIII   8321196 -         930000   268031  268141
14 XIV    9245626 -         786000   628757  628866
15 XV    10029956 -        1092000   326584  326702
16 XVI   11121239 12068940  954000   555952  556069
